basisOfRecord,catalogNumber,collectionCode,datasetID,decimalLatitude,decimalLongitude,institutionCode,modified,occurrenceID,occurrenceRemarks,occurrenceStatus,scientificName,scientificNameID,sex,id,dataset_id,node_id,dropped,absence,marine,brackish,superdomain,kingdom,phylum,subphylum,infraphylum,parvphylum,class,subclass,infraclass,superorder,order,family,genus,species,superdomainid,kingdomid,phylumid,subphylumid,infraphylumid,parvphylumid,classid,subclassid,infraclassid,superorderid,orderid,familyid,genusid,speciesid,aphiaID,originalScientificName,category,wrims,flags,bathymetry,shoredistance,sst,sss,country,day,eventDate,eventTime,georeferenceRemarks,locality,maximumDepthInMeters,maximumElevationInMeters,minimumDepthInMeters,minimumElevationInMeters,month,recordedBy,references,samplingProtocol,scientificNameAuthorship,year,depth,date_start,date_mid,date_end,date_year,collectionID,coordinateUncertaintyInMeters,individualCount,license,recordNumber,rightsHolder,type,dynamicProperties,lifeStage,preparations,waterBody,identifiedBy,county,ownerInstitutionCode,coordinatePrecision,footprintWKT,organismQuantity,organismQuantityType,taxonRank,acceptedNameUsage,acceptedNameUsageID,continent,countryCode,eventID,fieldNumber,geodeticDatum,georeferenceVerificationStatus,georeferencedBy,higherGeography,identificationID,institutionID,language,locationID,locationRemarks,previousIdentifications,specificEpithet,verbatimSRS,typeStatus,dateIdentified,eventRemarks,higherClassification,nomenclaturalCode,otherCatalogNumbers,startDayOfYear,verbatimLatitude,verbatimLongitude
Occurrence,#1307366750430#0.0821541156648784,DCR (IRD),https://marineinfo.org/id/dataset/3126,0.41680554,55.883472,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366750430#0.0821541156648784:0x5D4B180001000500",EME_1-fr.ird.observe.entities.TailleFaune#1307366750430#0.0821541156648784,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,IND,00011820-f600-49d5-ac9e-28860631dae2,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,3777,465228,28.62,35.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1307366661196#0.7040547816365065,DCR (IRD),https://marineinfo.org/id/dataset/3126,1.0168055,52.08347,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366661196#0.7040547816365065:0xF56A8E0001000400",EME_1-fr.ird.observe.entities.TailleFaune#1307366661196#0.7040547816365065,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,IND,0032c736-c831-455e-8da2-6558180f160c,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,4751,597879,27.95,35.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1312982058171#0.6413558787389546,DCR (IRD),https://marineinfo.org/id/dataset/3126,1.9001389,46.766804,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1312982058171#0.6413558787389546:0x9C928D0001000300",EME_1-fr.ird.observe.entities.TailleFaune#1312982058171#0.6413558787389546,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,M,00343168-05e5-4628-92c9-4af6ea0640cf,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,3314,100558,27.18,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1307366661244#0.36348066845296445,DCR (IRD),https://marineinfo.org/id/dataset/3126,1.0501388,56.73347,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366661244#0.36348066845296445:0x6DED170001000700",EME_1-fr.ird.observe.entities.TailleFaune#1307366661244#0.36348066845296445,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,IND,005a9f96-07fd-4645-937a-feb65ac6c555,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,4596,551966,28.73,35.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1307366750429#0.24832421002360172,DCR (IRD),https://marineinfo.org/id/dataset/3126,0.41680554,55.883472,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366750429#0.24832421002360172:0x5D4B180001000300",EME_1-fr.ird.observe.entities.TailleFaune#1307366750429#0.24832421002360172,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,IND,00aa1535-87da-4e55-82ed-2cb10eb4bb52,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,3777,465228,28.62,35.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1307366529896#0.9878312114512221,DCR (IRD),https://marineinfo.org/id/dataset/3126,0.65013885,51.43347,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366529896#0.9878312114512221:0xF2E7170001000000",EME_1-fr.ird.observe.entities.TailleFaune#1307366529896#0.9878312114512221,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,IND,00ce971d-158a-4c99-87b1-5ecaea6ccba6,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,5081,571041,27.88,35.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1313997919140#0.3637021992896007,DCR (IRD),https://marineinfo.org/id/dataset/3126,3.7168057,54.450138,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1313997919140#0.3637021992896007:0xB415180001000400",EME_1-fr.ird.observe.entities.TailleFaune#1313997919140#0.3637021992896007,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,M,00dc1d53-ec97-45cb-a8a9-fc870f75a938,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,5084,659100,28.11,35.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,EME_1-19942,ll_YugNIRO,https://marineinfo.org/id/dataset/3125,25.0335633333329,57.9892333333329,"IRD, UMR EME, Sète, France",2013-06-20 10:06:23,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-19942",NA,present,Galeocerdo cuvier,urn:lsid:marinespecies.org:taxname:105799,NA,011b2cfc-2114-4b11-a446-115020956bcf,f62024d7-1126-41a8-8dde-ff257d232c4d,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,TRUE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo cuvier,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105720,105799,105799,Galeocerdo cuvier,NT,TRUE,NO_DEPTH,1235,59790,28.22,36.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1307366559613#0.8833598050826551,DCR (IRD),https://marineinfo.org/id/dataset/3126,1.2001389,62.633472,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366559613#0.8833598050826551:0x0D948D0001000200",EME_1-fr.ird.observe.entities.TailleFaune#1307366559613#0.8833598050826551,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,IND,0128ffdf-e142-4db1-b9b3-256748390243,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,4297,952799,29.25,35.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occurrence,#1307366661194#0.9654418954140095,DCR (IRD),https://marineinfo.org/id/dataset/3126,1.0168055,52.08347,"IRD, UMR EME, SÃ¨te, France",2013-06-20 10:32:07,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366661194#0.9654418954140095:0xFEE2170001000500",EME_1-fr.ird.observe.entities.TailleFaune#1307366661194#0.9654418954140095,present,Carcharhinus falciformis,urn:lsid:marinespecies.org:taxname:105789,F,0141f5ae-c3c8-4fcd-9ea4-8289b1cfc674,15700106-b0f0-4134-b3d4-4d48acce406a,4bf79a01-65a9-4db6-b37b-18434f26ddfc,FALSE,FALSE,TRUE,FALSE,Biota,Animalia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Elasmobranchii,Neoselachii,Selachii,Galeomorphi,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1,2,1821,146419,1828,1517375,10193,368407,368408,368410,10210,105689,105719,105789,105789,Carcharhinus falciformis,VU,TRUE,NO_DEPTH,4751,597879,27.95,35.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
